2023-09-27 20:28:06,459 p=21388 u=belov n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details
2023-09-27 20:33:52,954 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/fpm/conf.d)
2023-09-27 20:33:54,679 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/apache2/conf.d)
2023-09-27 20:33:55,766 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/cli/conf.d)
2023-09-27 20:33:55,783 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Remove any non-role-supplied APCu config files.] ******************************************************************************************************************************************
2023-09-27 20:33:55,795 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:33:55,819 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Ensure APCu config file is present.] ******************************************************************************************************************************************************
2023-09-27 20:33:57,963 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/fpm/conf.d)
2023-09-27 20:33:59,790 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/apache2/conf.d)
2023-09-27 20:34:01,815 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/cli/conf.d)
2023-09-27 20:34:01,838 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Remove APCu config file if APC is disabled.] **********************************************************************************************************************************************
2023-09-27 20:34:01,854 p=21425 u=belov n=ansible | skipping: [zabbix_server] => (item=/etc/php/7.4/fpm/conf.d) 
2023-09-27 20:34:01,856 p=21425 u=belov n=ansible | skipping: [zabbix_server] => (item=/etc/php/7.4/apache2/conf.d) 
2023-09-27 20:34:01,857 p=21425 u=belov n=ansible | skipping: [zabbix_server] => (item=/etc/php/7.4/cli/conf.d) 
2023-09-27 20:34:01,859 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:34:01,878 p=21425 u=belov n=ansible | TASK [geerlingguy.php : include_tasks] ****************************************************************************************************************************************************************************
2023-09-27 20:34:01,907 p=21425 u=belov n=ansible | included: /home/belov/.ansible/roles/geerlingguy.php/tasks/configure-opcache.yml for zabbix_server
2023-09-27 20:34:01,959 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Check for existing OpCache config files.] *************************************************************************************************************************************************
2023-09-27 20:34:03,182 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/fpm/conf.d)
2023-09-27 20:34:04,040 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/apache2/conf.d)
2023-09-27 20:34:04,892 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/cli/conf.d)
2023-09-27 20:34:04,910 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Remove any non-role-supplied OpCache config files.] ***************************************************************************************************************************************
2023-09-27 20:34:04,931 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:34:04,948 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Ensure OpCache config file is present.] ***************************************************************************************************************************************************
2023-09-27 20:34:06,622 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/fpm/conf.d)
2023-09-27 20:34:08,684 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/apache2/conf.d)
2023-09-27 20:34:10,340 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/cli/conf.d)
2023-09-27 20:34:10,361 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Remove OpCache config file if OpCache is disabled.] ***************************************************************************************************************************************
2023-09-27 20:34:10,391 p=21425 u=belov n=ansible | skipping: [zabbix_server] => (item=/etc/php/7.4/fpm/conf.d) 
2023-09-27 20:34:10,394 p=21425 u=belov n=ansible | skipping: [zabbix_server] => (item=/etc/php/7.4/apache2/conf.d) 
2023-09-27 20:34:10,394 p=21425 u=belov n=ansible | skipping: [zabbix_server] => (item=/etc/php/7.4/cli/conf.d) 
2023-09-27 20:34:10,395 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:34:10,415 p=21425 u=belov n=ansible | TASK [geerlingguy.php : include_tasks] ****************************************************************************************************************************************************************************
2023-09-27 20:34:10,443 p=21425 u=belov n=ansible | included: /home/belov/.ansible/roles/geerlingguy.php/tasks/configure-fpm.yml for zabbix_server
2023-09-27 20:34:10,479 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define php_fpm_daemon.] *******************************************************************************************************************************************************************
